resourceID,campID,qty
1,2,123.0
2,2,73.0
3,2,60.0
4,2,58.0
5,2,61.0
6,2,59.0
7,2,59.0
8,2,62.0
9,2,192.0
10,2,61.0
11,2,58.0
1,3,124.0
2,3,75.0
3,3,63.0
4,3,61.0
5,3,62.0
6,3,60.0
7,3,59.0
8,3,65.0
9,3,193.0
10,3,62.0
11,3,58.0
1,4,50.0
2,4,29.0
3,4,25.0
4,4,20.0
5,4,24.0
6,4,20.0
7,4,20.0
8,4,26.0
9,4,76.0
10,4,20.0
11,4,20.0
1,5,25.0
2,5,15.0
3,5,13.0
4,5,10.0
5,5,12.0
6,5,10.0
7,5,10.0
8,5,13.0
9,5,38.0
10,5,10.0
11,5,10.0
1,6,75.0
2,6,44.0
3,6,38.0
4,6,30.0
5,6,36.0
6,6,30.0
7,6,30.0
8,6,39.0
9,6,114.0
10,6,30.0
11,6,30.0
1,7,124.0
2,7,75.0
3,7,63.0
4,7,61.0
5,7,62.0
6,7,60.0
7,7,59.0
8,7,65.0
9,7,193.0
10,7,62.0
11,7,58.0
1,9,50.0
2,9,29.0
3,9,25.0
4,9,20.0
5,9,24.0
6,9,20.0
7,9,20.0
8,9,26.0
9,9,76.0
10,9,20.0
11,9,20.0
1,10,50.0
2,10,29.0
3,10,25.0
4,10,20.0
5,10,24.0
6,10,20.0
7,10,20.0
8,10,26.0
9,10,76.0
10,10,20.0
11,10,20.0
1,11,25.0
2,11,15.0
3,11,13.0
4,11,10.0
5,11,12.0
6,11,10.0
7,11,10.0
8,11,13.0
9,11,38.0
10,11,10.0
11,11,10.0
1,12,25.0
2,12,15.0
3,12,13.0
4,12,10.0
5,12,12.0
6,12,10.0
7,12,10.0
8,12,13.0
9,12,38.0
10,12,10.0
11,12,10.0
1,13,50.0
2,13,29.0
3,13,25.0
4,13,20.0
5,13,24.0
6,13,20.0
7,13,20.0
8,13,26.0
9,13,76.0
10,13,20.0
11,13,20.0
1,14,50.0
2,14,29.0
3,14,25.0
4,14,20.0
5,14,24.0
6,14,20.0
7,14,20.0
8,14,26.0
9,14,76.0
10,14,20.0
11,14,20.0
1,15,50.0
2,15,29.0
3,15,25.0
4,15,20.0
5,15,24.0
6,15,20.0
7,15,20.0
8,15,26.0
9,15,76.0
10,15,20.0
11,15,20.0
1,16,75.0
2,16,44.0
3,16,38.0
4,16,30.0
5,16,36.0
6,16,30.0
7,16,30.0
8,16,39.0
9,16,114.0
10,16,30.0
11,16,30.0
1,17,124.0
2,17,75.0
3,17,63.0
4,17,61.0
5,17,62.0
6,17,60.0
7,17,59.0
8,17,65.0
9,17,193.0
10,17,62.0
11,17,58.0
1,18,50.0
2,18,29.0
3,18,25.0
4,18,20.0
5,18,24.0
6,18,20.0
7,18,20.0
8,18,26.0
9,18,76.0
10,18,22.0
11,18,20.0
